X,Y,Z,Impedance,Phase shift,Measured Freq,AC Freq,GF,SystemPS
37,-92,0,372.766,-0.12,1,1,6448021,0.30463
20,-97,0,372.604,-0.12,1,2,5994393,0.43235
3,-99,0,372.756,-0.12,1,3,5540764.5,0.56007
-14,-99,0,372.778,-0.12,1,4,5087136.5,0.68779
-31,-95,0,372.702,-0.12,1,5,4633508,0.8155
35,-93,0,0,0,2,6,4179880,0.94322
19,-98,0,0,0,2,7,3726251.75,1.07094
1,-99,0,0,0,2,8,3272623.5,1.19866
-15,-98,0,0,0,2,9,2818995.25,1.32638
-32,-94,0,0,0,2,10,2365367,1.4541
34,-93,0,0,0,3,11,2367682.75,1.43944
17,-98,0,0,0,3,12,2367064.25,1.42618
0,-99,0,0,0,3,13,2366445.75,1.41292
-17,-98,0,0,0,3,14,2365827.25,1.39965
-34,-93,0,0,0,3,15,2365208.75,1.38639
48,-87,0,0,0,4,16,2364590,1.37313
32,-94,0,0,0,4,17,2363971.5,1.35986
15,-98,0,0,0,4,18,2363353,1.3466
-1,-99,0,0,0,4,19,2362734.5,1.33334
-19,-98,0,0,0,4,20,2362116,1.32008
-35,-93,0,0,0,4,21,2363837.25,1.30654
47,-88,0,0,0,5,22,2363519.75,1.2935
31,-95,0,0,0,5,23,2363202.25,1.28045
14,-99,0,0,0,5,24,2362884.75,1.26741
-3,-99,0,0,0,5,25,2362567.25,1.25437
-20,-97,0,0,0,5,26,2362249.75,1.24132
-37,-92,0,0,0,5,27,2361932.25,1.22828
45,-89,0,0,0,6,28,2361614.75,1.21523
29,-95,0,0,0,6,29,2361297.25,1.20219
12,-99,0,0,0,6,30,2360979.75,1.18914
-5,-99,0,0,0,6,31,2361411,1.17619
-22,-97,0,0,0,6,32,2360850.25,1.1632
-39,-91,0,0,0,6,33,2360289.25,1.15022
43,-89,0,0,0,7,34,2359728.5,1.13723
27,-96,0,0,0,7,35,2359167.75,1.12424
10,-99,0,0,0,7,36,2358606.75,1.11126
-7,-99,0,0,0,7,37,2358046,1.09827
-24,-96,0,0,0,7,38,2357485.25,1.08529
-40,-91,0,0,0,7,39,2356924.25,1.0723
42,-90,0,767.547,0.27,8,40,2356363.5,1.05931
26,-96,0,767.222,0.28,8,41,2358509.25,1.04631
8,-99,0,766.619,0.27,8,42,2358022.75,1.03339
-8,-99,0,766.864,0.28,8,43,2357536,1.02046
-26,-96,0,766.977,0.27,8,44,2357049.5,1.00754
-42,-90,0,767.156,0.27,8,45,2356562.75,0.99462
40,-91,0,660.373,0.13,9,46,2356076.25,0.98169
24,-96,0,660.885,0.13,9,47,2355589.5,0.96877
7,-99,0,660.747,0.13,9,48,2355103,0.95585
-10,-99,0,660.714,0.13,9,49,2354616.25,0.94293
-27,-96,0,661.022,0.13,9,50,2354129.75,0.93
39,-91,0,554.373,0,10,51,2353580.5,0.91714
22,-97,0,554.534,0,10,52,2353122,0.90423
5,-99,0,554.518,0,10,53,2352663.25,0.89132
-12,-99,0,554.096,0,10,54,2352204.75,0.8784
-29,-95,0,554.663,0,10,55,2351746,0.86549
88,46,0,554.108,0,11,56,2351287.5,0.85258
95,30,0,554.365,0,11,57,2350828.75,0.83966
99,13,0,553.997,0,11,58,2350370.25,0.82675
99,-3,0,554.254,0,11,59,2349911.5,0.81384
97,-20,0,554.383,0,11,60,2349453,0.80092
92,-37,0,553.962,0,11,61,2349127.25,0.78798
84,-52,0,554.254,0,11,62,2348694.25,0.77512
74,-66,0,554.143,0,11,63,2348261.5,0.76227
61,-78,0,554.219,0,11,64,2347828.5,0.74941
47,-88,0,553.887,0,11,65,2347395.5,0.73655
31,-95,0,553.997,0,11,66,2346962.75,0.7237
14,-99,0,553.741,0,11,67,2346529.75,0.71084
-3,-99,0,554.032,0,11,68,2346096.75,0.69798
-20,-97,0,553.98,0,11,69,2345664,0.68513
89,45,0,555.688,0,12,70,2345231,0.67227
95,29,0,555.134,0,12,71,2342771.5,0.65888
99,12,0,555.134,0,12,72,2342164.75,0.64607
99,-5,0,555.411,0,12,73,2341558,0.63326
97,-22,0,555.282,0,12,74,2340951.25,0.62044
92,-38,0,554.343,0,12,75,2340344.5,0.60763
83,-54,0,555.095,0,12,76,2339737.75,0.59482
73,-68,0,555.501,0,12,77,2339131,0.582
60,-79,0,555.153,0,12,78,2338524.25,0.56919
45,-89,0,555.63,0,12,79,2337917.5,0.55638
29,-95,0,555.192,0,12,80,2337310.75,0.54356
12,-99,0,555.076,0,12,81,2336596,0.53049
-5,-99,0,555.411,0,12,82,2336036.75,0.51763
-22,-97,0,555.095,0,12,83,2335477.75,0.50478
89,43,0,555.279,0,13,84,2334918.5,0.49193
96,27,0,555.235,0,13,85,2334359.5,0.47907
99,10,0,554.679,0,13,86,2333800.25,0.46622
99,-6,0,555.171,0,13,87,2333241.25,0.45337
97,-24,0,555.193,0,13,88,2332682,0.44052
91,-40,0,555.193,0,13,89,2332123,0.42766
82,-55,0,554.849,0,13,90,2331563.75,0.41481
72,-69,0,555.171,0,13,91,2330219.5,0.4021
58,-80,0,554.957,0,13,92,2329436.5,0.38923
43,-89,0,555.064,0,13,93,2328653.75,0.37636
27,-96,0,555.15,0,13,94,2327870.75,0.36349
10,-99,0,555.106,0,13,95,2327087.75,0.35062
-7,-99,0,554.744,0,13,96,2326305,0.33775
-24,-96,0,555.214,0,13,97,2325522,0.32488
90,42,0,554.405,0,14,98,2324739,0.31201
96,25,0,554.835,0,14,99,2323956.25,0.29914
99,8,0,554.392,0,14,100,2323173.25,0.28627
99,-8,0,554.671,0,14,,,
96,-25,0,554.73,0,14,,,
90,-42,0,554.835,0,14,,,
81,-57,0,554.579,0,14,,,
70,-70,0,554.579,0,14,,,
42,-90,0,554.218,0,14,,,
26,-96,0,554.46,0,14,,,
8,-99,0,554.474,0,14,,,
-8,-99,0,554.648,0,14,,,
-26,-96,0,554.392,0,14,,,
91,40,0,554.458,0,15,,,
97,24,0,554.05,0,15,,,
99,7,0,553.874,0,15,,,
99,-10,0,554.1,0,15,,,
96,-27,0,554.001,0,15,,,
89,-43,0,554.128,0,15,,,
80,-58,0,554.05,0,15,,,
69,-71,0,554.128,0,15,,,
56,-82,0,554.227,0,15,,,
40,-91,0,553.972,0,15,,,
24,-96,0,554.1,0,15,,,
7,-99,0,554.075,0,15,,,
-10,-99,0,554.482,0,15,,,
92,39,0,554.898,0,16,,,
97,22,0,554.415,0,16,,,
99,5,0,554.085,0,16,,,
99,-12,0,554.489,0,16,,,
95,-29,0,554.691,0,16,,,
89,-45,0,554.235,0,16,,,
79,-60,0,554.898,0,16,,,
54,-83,0,554.977,0,16,,,
39,-91,0,554.437,0,16,,,
22,-97,0,554.415,0,16,,,
5,-99,0,554.665,0,16,,,
-12,-99,0,555.382,0,16,,,
92,37,0,554.108,0,17,,,
97,20,0,553.882,0,17,,,
99,3,0,553.685,0,17,,,
99,-13,0,554.657,0,17,,,
95,-30,0,554.502,0,17,,,
88,-46,0,554.347,0,17,,,
67,-74,0,554.037,0,17,,,
53,-84,0,554.361,0,17,,,
37,-92,0,554.87,0,17,,,
20,-97,0,554.39,0,17,,,
3,-99,0,554.333,0,17,,,
-14,-99,0,554.375,0,17,,,
93,35,0,554.618,0,18,,,
98,19,0,554.358,0,18,,,
99,1,0,554.149,0,18,,,
98,-15,0,554.528,0,18,,,
77,-62,0,553.986,0,18,,,
65,-75,0,554.395,0,18,,,
51,-85,0,554.902,0,18,,,
35,-93,0,554.678,0,18,,,
19,-98,0,554.655,0,18,,,
1,-99,0,553.673,0,18,,,
-15,-98,0,554.298,0,18,,,
86,50,0,553.385,0,19,,,
93,34,0,553.417,0,19,,,
94,-34,0,553.008,0,19,,,
86,-49,0,553.196,0,19,,,
76,-64,0,553.574,0,19,,,
64,-76,0,553.48,0,19,,,
50,-86,0,553.165,0,19,,,
34,-93,0,552.977,0,19,,,
17,-98,0,553.417,0,19,,,
0,-99,0,553.071,0,19,,,
87,48,0,554.696,0,20,,,
98,15,0,554.537,0,20,,,
99,-1,0,554.319,0,20,,,
98,-18,0,554.603,0,20,,,
93,-35,0,554.503,0,20,,,
85,-51,0,555.074,0,20,,,
75,-65,0,554.352,0,20,,,
63,-77,0,554.511,0,20,,,
48,-87,0,554.788,0,20,,,
32,-94,0,554.629,0,20,,,
15,-98,0,554.914,0,20,,,
-19,-98,0,554.722,0,20,,,
14,-99,0,554.851,0,21,,,
-3,-99,0,555.534,0,21,,,
-20,-97,0,554.655,0,21,,,
-37,-92,0,554.976,0,21,,,
-53,-84,0,555.192,0,21,,,
-67,-74,0,555.046,0,21,,,
-78,-61,0,554.746,0,21,,,
-88,-46,0,555.137,0,21,,,
-95,-30,0,554.6,0,21,,,
-99,-13,0,555.051,0,21,,,
-99,3,0,554.55,0,21,,,
12,-99,0,554.32,0,22,,,
-39,-91,0,553.77,0,22,,,
-54,-83,0,554.092,0,22,,,
-68,-73,0,554.393,0,22,,,
-89,-45,0,553.697,0,22,,,
-95,-29,0,553.88,0,22,,,
-99,-12,0,554.181,0,22,,,
-7,-99,0,554.123,0,23,,,
-24,-96,0,553.998,0,23,,,
-40,-91,0,553.559,0,23,,,
-80,-58,0,554.247,0,23,,,
-89,-43,0,554.161,0,23,,,
-96,-27,0,554.389,-0.01,23,,,
-99,7,0,553.626,0,23,,,
8,-99,0,554.495,0,24,,,
-8,-99,0,554.501,-0.01,24,,,
-26,-96,0,554.247,0,24,,,
-57,-81,0,554.783,0,24,,,
-70,-70,0,554.947,0,24,,,
-81,-57,0,554.371,0,24,,,
-99,-8,0,554.371,0,24,,,
-99,8,0,554.451,0,24,,,
7,-99,0,554.065,0,25,,,
-10,-99,0,553.94,-0.01,25,,,
-43,-89,0,553.856,-0.01,25,,,
-58,-80,0,553.94,-0.01,25,,,
-72,-69,0,554.351,-0.01,25,,,
-91,-40,0,553.858,-0.01,25,,,
-97,-24,0,554.065,0,25,,,
-99,-6,0,554.227,-0.01,25,,,
-29,-95,0,554.065,-0.01,26,,,
-45,-89,0,554.231,-0.01,26,,,
-83,-54,0,554.274,-0.01,26,,,
-92,-38,0,554.354,-0.01,26,,,
-99,12,0,554.109,-0.01,26,,,
3,-99,0,553.701,-0.01,27,,,
-14,-99,0,553.958,-0.01,27,,,
-31,-95,0,554.093,-0.01,27,,,
-61,-78,0,554.125,-0.01,27,,,
-74,-66,0,553.394,-0.01,27,,,
-84,-52,0,553.926,-0.01,27,,,
-97,-20,0,553.695,-0.01,27,,,
-99,-3,0,554.382,-0.01,27,,,
-99,13,0,554.003,-0.01,27,,,
19,-98,0,554.948,-0.01,28,,,
1,-99,0,554.462,-0.01,28,,,
-48,-87,0,554.92,-0.01,28,,,
-63,-77,0,555.117,-0.01,28,,,
-93,-35,0,554.322,-0.01,28,,,
-98,-18,0,554.827,-0.01,28,,,
-17,-98,0,554.58,-0.01,29,,,
-34,-93,0,554.314,-0.01,29,,,
-50,-86,0,554.242,-0.01,29,,,
-76,-64,0,554.411,-0.01,29,,,
-86,-49,0,554.266,-0.01,29,,,
-94,-34,0,554.362,-0.01,29,,,
-99,0,0,554.097,-0.01,29,,,
15,-98,0,554.38,-0.01,30,,,
-1,-99,0,554.43,-0.01,30,,,
-19,-98,0,553.51,-0.01,30,,,
-65,-75,0,554.14,-0.01,30,,,
-77,-62,0,554.09,-0.01,30,,,
-98,-15,0,553.7,-0.01,30,,,
-99,1,0,554.571,-0.01,30,,,
99,-3,0,554.596,-0.01,31,,,
92,-37,0,554.151,-0.01,31,,,
74,-66,0,554.477,-0.01,31,,,
47,-88,0,554.17,-0.01,31,,,
14,-99,0,554.254,-0.01,31,,,
-3,-99,0,554.05,-0.01,31,,,
-20,-97,0,553.86,-0.01,31,,,
-37,-92,0,554.306,-0.01,31,,,
-53,-84,0,554.477,-0.01,31,,,
-67,-74,0,554.425,-0.01,31,,,
-78,-61,0,554.373,-0.01,31,,,
-88,-46,0,554.27,-0.01,31,,,
-95,-30,0,554.134,-0.01,31,,,
-99,-13,0,554.238,-0.01,31,,,
-97,20,0,554.118,-0.01,31,,,
97,-22,0,554.374,-0.01,32,,,
83,-54,0,553.911,-0.01,32,,,
60,-79,0,554.784,-0.01,32,,,
29,-95,0,554.558,-0.01,32,,,
-5,-99,0,554.415,-0.01,32,,,
-39,-91,0,554.742,-0.01,32,,,
-68,-73,0,554.124,-0.01,32,,,
-89,-45,0,554.23,-0.01,32,,,
-99,-12,0,555.009,-0.01,32,,,
-99,5,0,554.386,-0.01,32,,,
99,-6,0,554.029,-0.01,33,,,
97,-24,0,553.911,-0.01,33,,,
91,-40,0,554.202,-0.01,33,,,
82,-55,0,554.556,-0.01,33,,,
72,-69,0,554.092,-0.01,33,,,
43,-89,0,554.257,-0.01,33,,,
10,-99,0,554.257,-0.01,33,,,
-24,-96,0,554.202,-0.01,33,,,
-56,-82,0,554.447,-0.01,33,,,
-80,-58,0,554.375,-0.01,33,,,
-96,-27,0,553.721,-0.01,33,,,
-99,7,0,553.966,-0.01,33,,,
-97,24,0,553.966,-0.01,33,,,
99,-8,0,553.83,-0.01,34,,,
90,-42,0,553.647,-0.01,34,,,
70,-70,0,553.605,-0.01,34,,,
57,-81,0,553.315,-0.01,34,,,
26,-96,0,553.544,-0.01,34,,,
-8,-99,0,553.488,-0.01,34,,,
-42,-90,0,554.369,-0.01,34,,,
-70,-70,0,553.9,-0.01,34,,,
-90,-42,0,553.666,-0.01,34,,,
-99,-8,0,553.886,-0.01,34,,,
-96,25,0,554.078,-0.01,34,,,
96,-27,0,554.063,-0.01,35,,,
