Step,Frequency (Hz),"Z, R1, AD5933","R, R1, AD5933","X, R1, AD5933","Z, R1, LCR","R, R1, LCR","X, R1, LCR","Z, DIFF, R1","R, DIFF, R1","X, DIFF, R1","Z, R2, AD5933","R, R2, AD5933","X, R2, AD5933","Z, R2, LCR","R, R2, LCR","X, R2, LCR","Z, DIFF, R2","R, DIFF, R2","X, DIFF, R2"
0,2000,226.26,226.24,2.98,57.92,57.92,0.01,168.34,168.32,2.97,229.05,229.03,2.87,59.15,5.92E+01,9.98E-03,169.90,169.88,2.86
0,3000,226.58,226.58,0.81,57.92,57.92,0.01,168.66,168.66,0.80,229.4,229.4,0.77,59.15,5.92E+01,1.28E-02,170.25,170.25,0.76
0,4000,226.62,226.62,-0.25,57.92,57.92,0.02,168.70,168.70,-0.27,229.46,229.46,-0.31,59.15,5.92E+01,1.33E-02,170.31,170.31,-0.32
0,5000,226.6,226.6,-0.7,57.92,57.92,0.02,168.68,168.68,-0.72,229.41,229.41,-0.63,59.15,5.92E+01,1.84E-02,170.26,170.26,-0.65
0,6000,226.64,226.64,-1.13,57.92,57.92,0.02,168.72,168.72,-1.15,229.54,229.53,-1.02,59.15,5.92E+01,2.17E-02,170.39,170.38,-1.04
0,7000,226.73,226.73,-0.94,57.92,57.92,0.02,168.81,168.81,-0.96,229.58,229.58,-1.1,59.15,5.92E+01,2.47E-02,170.43,170.43,-1.12
0,8000,226.71,226.7,-1.56,57.92,57.92,0.03,168.79,168.78,-1.59,229.5,229.49,-1.73,59.15,5.92E+01,2.72E-02,170.35,170.34,-1.76
0,9000,226.75,226.75,-1.6,57.92,57.92,0.03,168.83,168.83,-1.63,229.54,229.53,-1.84,59.15,5.91E+01,3.15E-02,170.39,170.38,-1.87
0,10000,226.6,226.59,-1.92,58.12,58.12,0.04,168.48,168.47,-1.96,229.45,229.44,-2.22,59.35,5.94E+01,4.06E-02,170.10,170.09,-2.26
0,11000,226.7,226.69,-1.98,57.92,57.92,0.04,168.78,168.77,-2.02,229.55,229.54,-2.2,59.15,5.92E+01,3.86E-02,170.40,170.39,-2.24
0,12000,226.57,226.56,-2.52,57.92,57.92,0.04,168.65,168.64,-2.56,229.42,229.41,-2.88,59.15,5.92E+01,4.03E-02,170.27,170.26,-2.92
0,13000,226.55,226.54,-2.57,57.92,57.92,0.04,168.63,168.62,-2.61,229.42,229.4,-2.85,59.15,5.92E+01,4.53E-02,170.27,170.25,-2.90
0,14000,226.58,226.56,-2.96,57.92,57.92,0.05,168.66,168.64,-3.01,229.42,229.4,-3.14,59.15,5.92E+01,4.86E-02,170.27,170.25,-3.19
0,15000,226.58,226.56,-2.93,57.92,57.92,0.05,168.66,168.64,-2.98,229.54,229.51,-3.86,59.15,5.92E+01,5.24E-02,170.39,170.36,-3.91
0,16000,226.52,226.49,-3.27,57.92,57.92,0.06,168.60,168.57,-3.33,229.51,229.48,-3.58,59.15,5.92E+01,5.42E-02,170.36,170.33,-3.63
0,17000,226.55,226.51,-3.99,57.92,57.92,0.06,168.63,168.59,-4.05,229.46,229.43,-3.82,59.15,5.92E+01,5.96E-02,170.31,170.28,-3.88
0,18000,226.44,226.4,-4.19,57.92,57.92,0.06,168.52,168.48,-4.25,229.35,229.32,-4.22,59.15,5.92E+01,6.31E-02,170.20,170.17,-4.28
0,19000,226.63,226.59,-4.29,57.92,57.92,0.06,168.71,168.67,-4.35,229.46,229.42,-4.24,59.15,5.91E+01,6.73E-02,170.31,170.27,-4.31
0,20000,226.44,226.39,-4.84,57.92,57.92,0.07,168.52,168.47,-4.91,229.32,229.27,-4.85,59.15,5.92E+01,6.91E-02,170.17,170.12,-4.92
0,21000,226.48,226.43,-4.79,57.92,57.92,0.07,168.56,168.51,-4.86,229.35,229.29,-5.29,59.15,5.92E+01,7.41E-02,170.20,170.14,-5.36
0,22000,226.39,226.33,-5.06,57.92,57.92,0.08,168.47,168.41,-5.14,229.44,229.37,-5.48,59.15,5.91E+01,7.69E-02,170.29,170.22,-5.56
0,23000,226.49,226.42,-5.64,57.92,57.92,0.08,168.57,168.50,-5.72,229.35,229.28,-6,59.15,5.92E+01,8.07E-02,170.20,170.13,-6.08
0,24000,226.44,226.37,-5.64,57.92,57.92,0.08,168.52,168.45,-5.72,229.32,229.24,-6.14,59.15,5.91E+01,8.23E-02,170.17,170.09,-6.22
0,25000,226.46,226.38,-6.04,57.92,57.92,0.09,168.54,168.46,-6.13,229.28,229.19,-6.65,59.15,5.91E+01,8.80E-02,170.13,170.04,-6.74
0,26000,226.47,226.38,-6.48,57.92,57.92,0.09,168.55,168.46,-6.57,229.21,229.1,-7.18,59.15,5.91E+01,9.16E-02,170.06,169.95,-7.27
0,27000,226.46,226.36,-6.89,57.92,57.92,0.09,168.54,168.44,-6.98,229.34,229.22,-7.53,59.15,5.91E+01,9.46E-02,170.19,170.07,-7.62
0,28000,226.37,226.26,-6.98,57.92,57.92,0.10,168.45,168.34,-7.08,229.18,229.04,-7.82,59.15,5.92E+01,9.83E-02,170.03,169.89,-7.92
0,29000,226.33,226.2,-7.62,57.92,57.92,0.10,168.41,168.28,-7.72,229.15,229,-8.29,59.15,5.91E+01,1.02E-01,170.00,169.85,-8.39
0,30000,226.28,226.13,-8.27,57.92,57.92,0.10,168.36,168.21,-8.37,229.16,228.99,-8.8,59.15,5.92E+01,1.05E-01,170.01,169.84,-8.90
0,31000,226.32,226.17,-8.21,57.92,57.92,0.11,168.40,168.25,-8.32,229.1,228.91,-9.36,59.15,5.91E+01,1.09E-01,169.95,169.76,-9.47
0,32000,226.25,226.07,-8.9,57.92,57.92,0.11,168.33,168.15,-9.01,229.14,228.91,-10.2,59.15,5.91E+01,1.12E-01,169.99,169.76,-10.31
0,33000,226.22,226.02,-9.54,57.92,57.92,0.11,168.30,168.10,-9.65,229.14,228.87,-11.11,59.15,5.91E+01,1.16E-01,169.99,169.72,-11.23
0,34000,226.2,225.96,-10.33,57.92,57.92,0.12,168.28,168.04,-10.45,229.11,228.83,-11.34,59.15,5.91E+01,1.20E-01,169.96,169.68,-11.46
0,35000,226.16,225.91,-10.66,57.92,57.92,0.12,168.24,167.99,-10.78,229.11,228.8,-12.01,59.15,5.91E+01,1.23E-01,169.96,169.65,-12.13
0,36000,226.21,225.94,-11.07,57.92,57.92,0.13,168.29,168.02,-11.20,229.05,228.71,-12.55,59.15,5.91E+01,1.25E-01,169.90,169.56,-12.68
0,37000,226.05,225.72,-12.2,57.92,57.92,0.13,168.13,167.80,-12.33,229.06,228.67,-13.47,59.15,5.91E+01,1.30E-01,169.91,169.52,-13.60
0,38000,226.13,225.78,-12.42,57.92,57.92,0.13,168.21,167.86,-12.55,228.99,228.55,-14.15,59.15,5.91E+01,1.34E-01,169.84,169.40,-14.28
0,39000,226.12,225.7,-13.84,57.92,57.92,0.14,168.20,167.78,-13.98,229.14,228.63,-15.24,59.15,5.92E+01,1.38E-01,169.99,169.48,-15.38
0,40000,226.08,225.6,-14.79,57.92,57.92,0.14,168.16,167.68,-14.93,229.12,228.56,-15.95,59.15,5.91E+01,1.42E-01,169.97,169.41,-16.09
0,41000,226.09,225.56,-15.45,57.92,57.92,0.14,168.17,167.64,-15.59,229.1,228.46,-17.13,59.15,5.91E+01,1.44E-01,169.95,169.31,-17.27
0,42000,226.25,225.68,-16.09,57.92,57.92,0.15,168.33,167.76,-16.24,229.21,228.49,-18.06,59.15,5.91E+01,1.48E-01,170.06,169.34,-18.21
0,43000,226.15,225.48,-17.37,57.92,57.92,0.15,168.23,167.56,-17.52,229.26,228.46,-19.19,59.15,5.91E+01,1.51E-01,170.11,169.31,-19.34
0,44000,226.21,225.44,-18.7,57.92,57.92,0.15,168.29,167.52,-18.85,229.18,228.28,-20.25,59.15,5.91E+01,1.57E-01,170.03,169.13,-20.41
0,45000,226.19,225.35,-19.48,57.92,57.92,0.16,168.27,167.43,-19.64,229.21,228.19,-21.57,59.15,5.91E+01,1.59E-01,170.06,169.04,-21.73
