X,Y,Z,Ω,θ,KHz
0,0,0,237.01,0.0267,50
0,0,0,236.9628,0.0261,50
0,0,0,236.9502,0.0257,50
0,0,0,236.9604,0.0265,50
0,0,0,236.9777,0.0262,50
0,0,0,236.9404,0.0259,50
0,0,0,236.9456,0.0266,50
0,0,0,236.9702,0.026,50
0,0,0,236.9555,0.0264,50
0,0,0,236.9208,0.0264,50
0,0,0,233.7289,0.0639,50
0,0,0,233.7029,0.0635,50
0,0,0,233.6428,0.0635,50
0,0,0,233.708,0.064,50
0,0,0,233.6839,0.0638,50
0,0,0,234.3171,0.045,50
0,0,0,234.2842,0.0453,50
0,0,0,234.3734,0.0448,50
0,0,0,234.401,0.0452,50
0,0,0,235.4765,0.0334,50
0,0,0,235.4879,0.034,50
0,0,0,235.4943,0.0328,50
0,0,0,235.4517,0.0337,50
0,0,0,235.4785,0.0337,50
0,0,0,236.9901,0.0263,50
0,0,0,237.0148,0.0263,50
0,0,0,237.0445,0.0261,50
0,0,0,237.0718,0.0264,50
0,0,0,238.9364,0.0195,50
0,0,0,238.9885,0.0205,50
0,0,0,238.9384,0.0206,50
0,0,0,238.9401,0.0201,50
0,0,0,238.9828,0.0201,50
0,0,0,241.3222,0.0152,50
0,0,0,241.2995,0.0153,50
0,0,0,241.2935,0.0159,50
0,0,0,241.3541,0.0156,50
0,0,0,244.3534,0.013,50
0,0,0,244.3359,0.0125,50
0,0,0,244.3493,0.0119,50
0,0,0,244.335,0.013,50
0,0,0,244.3505,0.0129,50
0,0,0,247.8074,0.0097,50
0,0,0,247.7927,0.0101,50
0,0,0,247.7976,0.0099,50
0,0,0,247.8561,0.0097,50
0,0,0,247.7884,0.0109,50
0,0,0,250.6046,0.0078,50
0,0,0,250.6932,0.0078,50
0,0,0,250.6514,0.0078,50
0,0,0,250.646,0.0084,50
0,0,0,255.2814,0.0064,50
0,0,0,255.2982,0.0063,50
0,0,0,255.3452,0.0054,50
0,0,0,255.2733,0.0059,50
0,0,0,255.3599,0.0065,50
0,0,0,260.8152,0.0049,50
0,0,0,260.6689,0.0045,50
0,0,0,260.7088,0.0037,50
0,0,0,260.8291,0.0048,50
0,0,0,267.3104,0.0021,50
0,0,0,267.395,0.003,50
0,0,0,267.3437,0.0028,50
0,0,0,267.4025,0.0031,50
0,0,0,267.4007,0.0033,50
0,0,0,275.4951,6.0E-4,50
0,0,0,275.387,0.0014,50
0,0,0,275.5445,0.0014,50
0,0,0,275.5423,0.0011,50
0,0,0,275.4325,3.0E-4,50
0,0,0,286.2224,-5.0E-4,50
0,0,0,285.9545,-1.0E-4,50
0,0,0,285.9164,-4.0E-4,50
0,0,0,286.074,-1.0E-4,50
0,0,0,303.7796,-0.0029,50
0,0,0,303.4718,-0.0032,50
0,0,0,303.6668,-0.0045,50
0,0,0,303.5086,-0.0036,50
0,0,0,303.6613,-0.003,50
0,0,0,321.5102,-0.0048,50
0,0,0,321.6932,-0.0047,50
0,0,0,321.8707,-0.0039,50
0,0,0,321.486,-0.0049,50
0,0,0,321.6838,-0.0043,50
0,0,0,333.5788,-0.0035,50
0,0,0,333.35,-0.0038,50
0,0,0,333.4623,-0.0034,50
0,0,0,333.4303,-0.0037,50
0,0,0,350.7505,-0.004,50
0,0,0,350.8502,-0.0033,50
0,0,0,350.7859,-0.0037,50
0,0,0,351.0303,-0.0032,50
0,0,0,351.2308,-0.0038,50
0,0,0,368.1047,-0.0034,50
0,0,0,368.2054,-0.0045,50
0,0,0,368.1047,-0.0034,50
0,0,0,368.1872,-0.0025,50
0,0,0,368.5654,-0.004,50
0,0,0,385.6453,-0.0034,50
0,0,0,385.7229,-0.003,50
0,0,0,385.7098,-0.0035,50
0,0,0,385.6148,-0.0021,50
0,0,0,385.717,-0.0024,50
0,0,0,402.2871,-0.0019,50
0,0,0,402.8086,-0.0026,50
0,0,0,402.7501,-0.0027,50
0,0,0,402.4286,-0.0032,50
0,0,0,419.3812,-0.0021,50
0,0,0,419.6218,-0.0015,50
0,0,0,419.9335,-0.0014,50
0,0,0,419.9501,-0.0019,50
0,0,0,419.9783,-0.0015,50
0,0,0,438.2916,-7.0E-4,50
0,0,0,438.0638,-0.0013,50
0,0,0,438.0293,-0.0014,50
0,0,0,438.5154,-0.0018,50
0,0,0,437.9987,-0.0018,50
0,0,0,455.2192,-0.0013,50
0,0,0,455.2806,-1.0E-4,50
0,0,0,455.7883,-0.0012,50
