X,Y,Z,Ω,Θ,KHz
65,-75,0,626.749,-0.1645,10
56,-82,0,618.861,-0.1735,11
35,-93,0,613.464,-0.1855,12
11,-99,0,605.502,-0.1965,13
-12,-99,0,598.802,-0.2032,14
-35,-93,0,590.68,-0.2136,15
-57,-82,0,583.045,-0.2201,16
-75,-66,0,577.969,-0.2252,17
-88,-46,0,569.919,-0.2308,18
-97,-23,0,563.241,-0.2343,19
-99,0,0,558.28,-0.2381,20
-97,24,0,551.703,-0.2421,21
-88,46,0,545.857,-0.244,22
-74,66,0,539.542,-0.2474,23
-56,82,0,533.635,-0.2471,24
-34,93,0,529.236,-0.2472,25
-11,99,0,523.905,-0.2476,26
12,99,0,518.686,-0.2487,27
35,93,0,514.527,-0.2474,28
57,81,0,509.981,-0.2476,29
75,65,0,504.85,-0.2471,30
89,45,0,501.61,-0.245,31
97,22,0,497.18,-0.2438,32
99,-1,0,493.589,-0.2431,33
96,-25,0,490.078,-0.2421,34
87,-47,0,486.714,-0.2399,35
73,-67,0,484.117,-0.2382,36
55,-83,0,480.678,-0.2371,37
34,-93,0,477.882,-0.2344,38
11,-99,0,475.439,-0.2327,39
-13,-99,0,472.696,-0.2309,40
-36,-93,0,470.094,-0.2282,41
-57,-81,0,467.634,-0.226,42
-75,-65,0,465.877,-0.2244,43
-88,-45,0,463.033,-0.2223,44
-97,-23,0,460.949,-0.22,45
-99,0,0,458.733,-0.2162,46
-96,24,0,457.425,-0.2158,47
-88,47,0,455.496,-0.2124,48
-74,67,0,453.616,-0.2098,49
-55,83,0,451.928,-0.2075,50
-33,94,0,450.604,-0.2057,51
-10,99,0,448.981,-0.204,52
13,99,0,447.977,-0.2006,53
36,93,0,446.342,-0.1983,54
57,81,0,444.609,-0.1968,55
75,65,0,443.404,-0.1952,56
89,44,0,442.394,-0.1928,57
97,21,0,441.6,-0.1904,58
99,-2,0,439.944,-0.1885,59
96,-26,0,438.93,-0.1857,60
87,-48,0,437.777,-0.1843,61
72,-68,0,436.809,-0.1822,62
54,-83,0,435.869,-0.1797,63
33,-94,0,435.148,-0.1782,64
9,-99,0,434.209,-0.1766,65
-14,-98,0,433.356,-0.1748,66
-37,-92,0,432.413,-0.1723,67
-58,-81,0,431.565,-0.17,68
-76,-64,0,430.724,-0.1682,69
-89,-44,0,429.86,-0.1668,70
-97,-21,0,429.477,-0.1648,71
-99,2,0,428.648,-0.1629,72
-96,25,0,428.2,-0.1616,73
