X,Y,Z,Ω,θ,KHz
-99,13,0,626.208,-0.1654,10
-96,24,0,620.078,-0.1752,11
-88,46,0,612.462,-0.1851,12
-74,66,0,604.45,-0.1967,13
-56,82,0,596.971,-0.2082,14
-34,93,0,590.015,-0.2147,15
-11,99,0,581.99,-0.2151,16
12,99,0,576.156,-0.2247,17
35,93,0,569.674,-0.2296,18
56,82,0,561.219,-0.2311,19
74,66,0,556.985,-0.238,20
88,46,0,549.889,-0.2404,21
97,23,0,544.802,-0.2409,22
99,0,0,537.813,-0.247,23
97,-24,0,533.423,-0.2477,24
88,-46,0,527.874,-0.2466,25
74,-66,0,523.019,-0.2472,26
56,-82,0,518.088,-0.2458,27
35,-93,0,514.209,-0.2484,28
12,-99,0,509.436,-0.2466,29
-11,-99,0,504.513,-0.2455,30
-34,-93,0,500.539,-0.2445,31
-56,-82,0,497.442,-0.2434,32
-74,-66,0,493.498,-0.2419,33
-88,-47,0,489.815,-0.2409,34
-96,-24,0,486.897,-0.2389,35
-99,0,0,483.581,-0.2369,36
-97,23,0,480.834,-0.2354,37
-88,45,0,477.949,-0.2333,38
-75,65,0,475.036,-0.2316,39
-57,81,0,472.506,-0.2297,40
-35,93,0,469.865,-0.2272,41
-12,99,0,467.326,-0.225,42
11,99,0,464.634,-0.2234,43
34,93,0,463.035,-0.2206,44
56,82,0,460.912,-0.2189,45
74,66,0,459.334,-0.2159,46
88,46,0,457.37,-0.2143,47
97,24,0,455.688,-0.2111,48
99,0,0,453.614,-0.2092,49
97,-23,0,452.13,-0.206,50
88,-46,0,450.574,-0.2052,51
74,-66,0,449.038,-0.2017,52
56,-82,0,447.857,-0.1991,53
35,-93,0,446.154,-0.1989,54
12,-99,0,444.752,-0.1965,55
-11,-99,0,443.692,-0.1943,56
-34,-93,0,442.332,-0.1917,57
-56,-82,0,441.395,-0.1894,58
-74,-66,0,439.845,-0.1874,59
-88,-47,0,438.956,-0.1851,60
-96,-24,0,438.188,-0.1837,61
-99,0,0,437.198,-0.181,62
-97,22,0,436.093,-0.1791,63
-89,45,0,435.06,-0.1769,64
-75,65,0,434.259,-0.1747,65
-57,81,0,433.479,-0.1726,66
-35,93,0,432.416,-0.171,67
-12,99,0,431.646,-0.1687,68
11,99,0,431.148,-0.1676,69
34,93,0,430.29,-0.1658,70
56,82,0,429.637,-0.1639,71
74,66,0,428.896,-0.1616,72
88,46,0,428.017,-0.1606,73
97,24,0,427.466,-0.159,74
99,0,0,426.756,-0.1572,75
97,-23,0,426.399,-0.1552,76
88,-46,0,425.717,-0.1534,77
74,-66,0,425.246,-0.1522,78
57,-82,0,424.669,-0.1501,79
35,-93,0,423.993,-0.1487,80
12,-99,0,423.463,-0.1479,81
-11,-99,0,422.974,-0.1454,82
-34,-93,0,422.657,-0.1448,83
-56,-82,0,422.447,-0.1426,84
-74,-66,0,421.632,-0.1413,85
-88,-46,0,421.672,-0.1398,86
-96,-24,0,420.811,-0.1388,87
-99,0,0,420.372,-0.1372,88
-97,23,0,420.137,-0.136,89
-88,45,0,419.641,-0.1349,90
-75,65,0,419.428,-0.1335,91
-57,81,0,418.976,-0.1314,92
-35,93,0,418.676,-0.1305,93
-12,99,0,418.459,-0.1286,94
11,99,0,417.9,-0.1284,95
34,93,0,417.57,-0.1272,96
56,82,0,417.32,-0.1249,97
74,66,0,416.992,-0.1244,98
88,46,0,416.58,-0.124,99
97,24,0,416.353,-0.1221,100
99,0,0,416.306,-0.121,101
