X,Y,Z,Ω,θ,KHz
9,-99,0,0.0,-0.0081,3
-13,-99,0,0.0,-0.0081,4
-37,-92,0,0.0,-0.0081,5
-58,-80,0,0.0,-0.0081,6
-76,-64,0,0.0,-0.0081,7
-90,-43,0,0.0,-0.0081,8
-98,-19,0,0.0,-0.0081,9
-99,4,0,0.0,-0.0081,10
-95,29,0,0.0,-0.0081,11
-85,52,0,0.0,-0.0081,12
-69,71,0,0.0,-0.0081,13
-49,86,0,0.0,-0.0081,14
-26,96,0,971.39,-1.1793,15
-3,99,0,907.699,-1.1625,16
19,97,0,878.668,-1.1548,17
42,90,0,840.525,-1.1404,18
63,77,0,800.489,-1.1357,19
79,60,0,773.151,-1.1296,20
91,39,0,745.451,-1.1092,21
98,16,0,717.012,-1.1098,22
99,-7,0,700.126,-1.0944,23
95,-30,0,669.435,-1.0861,24
84,-52,0,651.738,-1.0748,25
70,-71,0,634.292,-1.0669,26
51,-85,0,617.989,-1.0591,27
29,-95,0,604.718,-1.0505,28
6,-99,0,587.625,-1.0441,29
-17,-98,0,573.868,-1.0346,30
-40,-91,0,559.089,-1.0251,31
-60,-79,0,549.544,-1.0164,32
-77,-62,0,538.505,-1.0103,33
-90,-42,0,527.1,-1.0015,34
-97,-20,0,516.777,-0.9958,35
-99,3,0,508.093,-0.9889,36
-96,27,0,498.867,-0.9815,37
-87,49,0,490.484,-0.9742,38
-72,68,0,482.597,-0.9677,39
-54,83,0,474.77,-0.9617,40
-32,94,0,467.511,-0.9549,41
-9,99,0,460.47,-0.9486,42
13,99,0,453.227,-0.9419,43
36,92,0,448.4,-0.9359,44
58,81,0,441.957,-0.9305,45
75,65,0,435.357,-0.9256,46
89,45,0,430.702,-0.9175,47
97,22,0,425.535,-0.9117,48
99,-1,0,420.086,-0.9087,49
96,-24,0,414.029,-0.9032,50
88,-47,0,411.327,-0.9008,51
74,-66,0,405.868,-0.8943,52
56,-82,0,402.433,-0.887,53
35,-93,0,396.648,-0.8807,54
12,-99,0,393.712,-0.876,55
-11,-99,0,389.001,-0.8737,56
-34,-93,0,385.661,-0.8693,57
-55,-83,0,382.392,-0.8664,58
-73,-67,0,378.288,-0.8596,59
-87,-48,0,375.4,-0.8563,60
-96,-26,0,371.286,-0.8515,61
-99,-2,0,370.127,-0.8492,62
-97,21,0,365.774,-0.8444,63
-90,43,0,363.317,-0.8388,64
-77,63,0,359.929,-0.8358,65
-59,80,0,358.127,-0.8304,66
-38,92,0,355.293,-0.827,67
-15,98,0,351.985,-0.8238,68
7,99,0,349.746,-0.8204,69
30,95,0,346.813,-0.8179,70
