re,ri,c,rmse,rsq,alpha,fPeak
453.9,1244.9,5.95E-09,0.2,1,0.989,15.74
453.9,1245.2,5.86E-09,0.2,1,0.99,15.98
453.9,1244.7,5.94E-09,0.2,1,0.989,15.79
453.9,1245.3,5.97E-09,0.2,1,0.989,15.69
453.9,1245,5.73E-09,0.2,1,0.989,16.35
453.9,1245,5.97E-09,0.2,1,0.989,15.7
453.9,1244.7,5.78E-09,0.2,1,0.989,16.2
453.9,1245.5,5.87E-09,0.2,1,0.99,15.95
453.9,1245.3,5.83E-09,0.1,1,0.99,16.06
453.9,1244.6,5.88E-09,0.1,1,0.989,15.95
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
