re,ri,c,rmse,rsq,alpha,fPeak
650.7,955.9,4.48e-09,0.4,1.00,0.993,22.12
650.7,956.2,4.43e-09,0.4,1.00,0.993,22.37
650.7,956.4,4.45e-09,0.3,1.00,0.993,22.26
650.7,956.6,4.43e-09,0.4,1.00,0.993,22.38
650.7,956.8,4.44e-09,0.4,1.00,0.993,22.31
650.7,956.5,4.42e-09,0.4,1.00,0.993,22.41
650.7,956.8,4.47e-09,0.4,1.00,0.994,22.14
650.7,956.4,4.43e-09,0.3,1.00,0.993,22.33
650.7,956.7,4.38e-09,0.4,1.00,0.993,22.60
650.8,955.8,4.44e-09,0.4,1.00,0.993,22.30
958.3,660.6,4.65e-09,1.7,1.00,0.995,21.14
958.0,661.1,4.65e-09,1.3,1.00,0.995,21.14
958.0,661.0,4.63e-09,1.4,1.00,0.995,21.22
958.2,661.0,4.63e-09,1.5,1.00,0.995,21.23
958.1,660.9,4.63e-09,1.6,1.00,0.995,21.22
958.2,661.2,4.64e-09,1.6,1.00,0.995,21.19
958.3,660.8,4.62e-09,1.4,1.00,0.995,21.28
958.3,661.1,4.64e-09,1.6,1.00,0.995,21.19
958.1,661.5,4.66e-09,1.6,1.00,0.995,21.10
958.5,661.1,4.62e-09,1.6,1.00,0.995,21.25
958.5,661.0,4.62e-09,1.5,1.00,0.995,21.26
958.1,661.7,4.63e-09,1.5,1.00,0.995,21.24
958.3,661.5,4.63e-09,1.6,1.00,0.995,21.23
958.3,661.1,4.63e-09,1.5,1.00,0.995,21.21
958.3,661.2,4.68e-09,1.4,1.00,0.995,21.01
646.6,972.6,2.91e-09,0.7,1.00,0.992,33.80
646.7,971.6,2.93e-09,0.6,1.00,0.991,33.57
646.7,971.9,2.93e-09,0.6,1.00,0.991,33.53
646.8,970.9,2.92e-09,0.5,1.00,0.990,33.68
646.8,971.8,2.90e-09,0.5,1.00,0.991,33.90
646.7,971.3,2.91e-09,0.6,1.00,0.991,33.75
646.8,971.5,2.92e-09,0.7,1.00,0.991,33.66
646.8,971.1,2.92e-09,0.6,1.00,0.990,33.69
646.7,971.1,2.91e-09,0.6,1.00,0.991,33.76
646.7,971.5,2.92e-09,0.5,1.00,0.991,33.65
453.9,1244.9,5.95e-09,0.2,1.00,0.989,15.74
453.9,1245.2,5.86e-09,0.2,1.00,0.990,15.98
453.9,1244.7,5.94e-09,0.2,1.00,0.989,15.79
453.9,1245.3,5.97e-09,0.2,1.00,0.989,15.69
453.9,1245.0,5.73e-09,0.2,1.00,0.989,16.35
453.9,1245.0,5.97e-09,0.2,1.00,0.989,15.70
453.9,1244.7,5.78e-09,0.2,1.00,0.989,16.20
453.9,1245.5,5.87e-09,0.2,1.00,0.990,15.95
453.9,1245.3,5.83e-09,0.1,1.00,0.990,16.06
453.9,1244.6,5.88e-09,0.1,1.00,0.989,15.95
