Z,θ,R,X,f,Re,Ri,Cm
649.1919,-0.0269,648.9570332877914,17.461156087682483,2,668,973,4.73
646.5351,-0.0513,645.6845465786324,33.15270489049071,3,668,973,4.73
643.1817,-0.0735,641.445167806884,47.23130224849238,4,668,973,4.73
638.9781,-0.0925,636.246420393959,59.021223432622484,5,668,973,4.73
634.329,-0.1086,630.5920495274621,68.75279858852815,6,668,973,4.73
628.9633,-0.1244,624.1028561990175,78.04138409278998,7,668,973,4.73
623.2668,-0.1398,617.1861374428767,86.84915503666384,8,668,973,4.73
616.5372,-0.1543,609.212340256999,94.75464876421827,9,668,973,4.73
610.122,-0.1671,601.623763590981,101.47759342152047,10,668,973,4.73
603.401,-0.1788,593.7814725597135,107.31416330484141,11,668,973,4.73
596.0922,-0.1896,585.4100490156441,112.34315917020191,12,668,973,4.73
589.2762,-0.1995,577.5883720977688,116.78232873123164,13,668,973,4.73
582.3817,-0.2079,569.8409974274626,120.20683069511719,14,668,973,4.73
575.0147,-0.2157,561.6897760586552,123.07112044370024,15,668,973,4.73
568.3799,-0.2226,554.3561231436216,125.47907975907295,16,668,973,4.73
561.4999,-0.2292,546.8158159549515,127.57194488417376,17,668,973,4.73
554.7456,-0.2344,539.5754558499077,128.84489964187296,18,668,973,4.73
548.3355,-0.2388,532.7751195324511,129.7015519083425,19,668,973,4.73
542.1717,-0.2424,526.3211431687369,130.13918139608842,20,668,973,4.73
535.9585,-0.2458,519.8491790131785,130.41604503117813,21,668,973,4.73
530.3016,-0.2483,514.0381027381832,130.32503940490145,22,668,973,4.73
524.5082,-0.2503,508.1635577789599,129.9178602528138,23,668,973,4.73
519.4012,-0.2517,503.03509418173843,129.35725949095237,24,668,973,4.73
514.1109,-0.2527,497.78320059222455,128.53755368362647,25,668,973,4.73
508.9168,-0.2535,492.6521117188223,127.63309187364004,26,668,973,4.73
504.0751,-0.2542,487.8765369453808,126.76036895730672,27,668,973,4.73
499.8301,-0.2535,483.85581742561874,125.35420539174712,28,668,973,4.73
495.4414,-0.2533,479.6322188711106,124.15762342576889,29,668,973,4.73
491.3398,-0.2528,475.72300341785905,122.89191626438128,30,668,973,4.73
487.3731,-0.252,471.97975024586026,121.52223648972802,31,668,973,4.73
483.5708,-0.2509,468.429891555862,120.05896596924104,32,668,973,4.73
479.9728,-0.2501,465.03973096089527,118.79367562146625,33,668,973,4.73
476.6057,-0.2488,461.9303474305859,117.35990539851434,34,668,973,4.73
473.2459,-0.2472,458.85986530003385,115.79855734699281,35,668,973,4.73
470.2452,-0.2455,456.14533291256606,114.28903440454928,36,668,973,4.73
467.3232,-0.2442,453.4582158166339,112.98946750310428,37,668,973,4.73
464.4237,-0.2424,450.84612992278,111.4770839919209,38,668,973,4.73
461.8308,-0.2402,448.57182934573825,109.86811068757797,39,668,973,4.73
459.2349,-0.2383,446.2572273648653,108.40286159798977,40,668,973,4.73
456.945,-0.2364,444.236175237899,107.0184733352271,41,668,973,4.73
454.3741,-0.2341,441.98036764349723,105.40008239336937,42,668,973,4.73
452.351,-0.232,440.23183498543887,104.00653184465558,43,668,973,4.73
450.1698,-0.2303,438.28439800371603,102.76008611596373,44,668,973,4.73
448.2704,-0.2279,436.6794724999884,101.27877276750483,45,668,973,4.73
446.3549,-0.2259,435.01432382012496,99.97617128760953,46,668,973,4.73
444.5132,-0.2235,433.4571209306682,98.52364837304823,47,668,973,4.73
442.4934,-0.2214,431.6925660231853,97.16963251900175,48,668,973,4.73
440.7473,-0.2195,430.1722041604042,95.96904305592268,49,668,973,4.73
439.31,-0.2173,428.9787956924086,94.71255960162163,50,668,973,4.73
437.7618,-0.215,427.6829448855056,93.3953542383214,51,668,973,4.73
436.141,-0.213,426.28470834452315,92.19717627251302,52,668,973,4.73
435.0277,-0.2108,425.3978545538977,91.026178147997,53,668,973,4.73
433.4012,-0.2087,423.9968646690733,89.79565085367737,54,668,973,4.73
432.1089,-0.2067,422.9108163940979,88.68225772998582,55,668,973,4.73
430.8537,-0.2047,421.8583410222478,87.58111048420686,56,668,973,4.73
429.555,-0.2026,420.7691936893244,86.43369520641718,57,668,973,4.73
428.2796,-0.2006,419.69139476771215,85.33785170774108,58,668,973,4.73
427.4122,-0.1987,419.00244599093725,84.3690640131304,59,668,973,4.73
426.4411,-0.1965,418.23463172632876,83.2574596895208,60,668,973,4.73
425.2101,-0.1949,417.1596147369429,82.34977215836962,61,668,973,4.73
424.2635,-0.1928,416.4025682957573,81.29218012175096,62,668,973,4.73
423.26,-0.1908,415.5790304240579,80.26890476267829,63,668,973,4.73
422.449,-0.1889,414.93421769758095,79.32687176925917,64,668,973,4.73
421.5351,-0.1873,414.16269310889265,78.49270137279757,65,668,973,4.73
420.7295,-0.1851,413.54253601848563,77.43308771868436,66,668,973,4.73
419.9642,-0.1837,412.89811355078115,76.71425622298788,67,668,973,4.73
419.1681,-0.1821,412.2373908653167,75.90935140130043,68,668,973,4.73
418.4098,-0.18,411.64984273073935,74.90772801118442,69,668,973,4.73
417.4983,-0.1784,410.8721346580089,74.08724225169249,70,668,973,4.73
416.9547,-0.1767,410.4623535227705,73.2930978512859,71,668,973,4.73
416.1769,-0.1748,409.8349220696729,72.37781943216513,72,668,973,4.73
415.5901,-0.1734,409.3578490856432,71.70273781373902,73,668,973,4.73
414.9912,-0.1716,408.8961469403405,70.86351031937022,74,668,973,4.73
414.3137,-0.1701,408.3342599437413,70.13539879324198,75,668,973,4.73
413.6511,-0.1682,407.8135308892434,69.24851301550171,76,668,973,4.73
413.0576,-0.167,407.31109230357845,68.66043259567891,77,668,973,4.73
412.4319,-0.1655,406.7964741875072,67.94630767174006,78,668,973,4.73
412.0713,-0.164,406.54217445438,67.27716309115917,79,668,973,4.73
411.5137,-0.1624,406.0990343534833,66.5364530528821,80,668,973,4.73
410.9731,-0.161,405.65817870520215,65.88118831038409,81,668,973,4.73
410.5995,-0.1598,405.3681040283983,65.33490366313896,82,668,973,4.73
410.0607,-0.158,404.9529614177032,64.52035898475906,83,668,973,4.73
409.7407,-0.1572,404.6883938732148,64.14627893188926,84,668,973,4.73
409.0884,-0.1559,404.12705302209633,63.51884783460509,85,668,973,4.73
408.7085,-0.1547,403.827621491411,62.97531336039317,86,668,973,4.73
408.3382,-0.1528,403.58056005451346,62.15156575119609,87,668,973,4.73
407.8875,-0.1517,403.20315861390844,61.639480367840385,88,668,973,4.73
407.4656,-0.1503,402.87191513457793,61.01176262949133,89,668,973,4.73
407.1082,-0.1492,402.5853549249351,60.51544023804237,90,668,973,4.73
406.7554,-0.1476,402.332700315084,59.8193420753924,91,668,973,4.73
406.3161,-0.1467,401.9517933629677,59.39300406196099,92,668,973,4.73
406.2036,-0.1446,401.9643063687818,58.53256408550796,93,668,973,4.73
405.7665,-0.1447,401.52591914327576,58.50973233913814,94,668,973,4.73
405.4561,-0.1437,401.2770274237043,58.06372610507926,95,668,973,4.73
404.9296,-0.1423,400.8367449988208,57.42721319122415,96,668,973,4.73
404.6481,-0.1416,400.5981632438259,57.106886093386215,97,668,973,4.73
404.7345,-0.1404,400.7519528926668,56.6382180419175,98,668,973,4.73
404.0471,-0.1385,400.1780244922527,55.78178673983134,99,668,973,4.73
403.8436,-0.1377,400.02094812458796,55.43369302568364,100,668,973,4.73
955.2834,-0.0275,954.9222062279682,26.266982473624104,2,998,668,4.87
950.3624,-0.0716,947.9273956003778,67.9878224687677,3,998,668,4.87
944.2733,-0.1092,938.648832897398,102.90983234483653,4,998,668,4.87
935.9419,-0.1395,926.8498271787759,130.1408392253691,5,998,668,4.87
925.6323,-0.1648,913.0910802126236,151.85464773734805,6,998,668,4.87
914.7081,-0.1882,898.5567241378269,171.13363699842037,7,998,668,4.87
902.7136,-0.2138,882.1603528346562,191.53317078666805,8,998,668,4.87
889.6758,-0.2367,864.8690614520455,208.6253475699874,9,998,668,4.87
876.2166,-0.2573,847.3720509796972,222.97115807660293,10,998,668,4.87
862.4002,-0.2759,829.78458288039,234.92903391036495,11,998,668,4.87
848.9655,-0.295,812.2920091566308,246.82810223014343,12,998,668,4.87
834.2204,-0.3121,793.9199193320426,256.15393314170115,13,998,668,4.87
819.8831,-0.3264,776.5955397584364,262.8833682318317,14,998,668,4.87
804.8981,-0.3397,758.9019318397806,268.19546833132557,15,998,668,4.87
790.9156,-0.3528,742.202252348146,273.28245997996123,16,998,668,4.87
776.9532,-0.3642,725.9920794799979,276.75219154064257,17,998,668,4.87
