Z,θ,R,X,f,Re,Ri,Cm
+6.720158804E+02,-1.980908683E-02,671.8840352222182,13.311150337070252,1,668,973,4.73
+6.703691538E+02,-3.942434312E-02,669.8482509820954,26.422017764657582,2,668,973,4.73
+6.677785638E+02,-5.859074377E-02,666.6326914054371,39.10326099360589,3,668,973,4.73
+6.642562164E+02,-7.718791774E-02,662.2783878327471,51.22165592502013,4,668,973,4.73
+6.598914154E+02,-9.506910424E-02,656.9115670598496,62.64082679521462,5,668,973,4.73
+6.547800176E+02,-1.121171726E-01,650.6689490811854,73.25837938312608,6,668,973,4.73
+6.490374516E+02,-1.282379018E-01,643.7080637838961,83.00326619483006,7,668,973,4.73
+6.427624761E+02,-1.433536850E-01,636.1693045623548,91.82710174481637,8,668,973,4.73
+6.360754941E+02,-1.574357350E-01,628.208875776668,99.72784260162237,9,668,973,4.73
+6.520963356E+02,-1.767319364E-01,641.9389687273556,114.64724738172706,10,668,973,4.73
+6.218063954E+02,-1.823591321E-01,611.4959754412697,112.764645964377,11,668,973,4.73
+6.144062477E+02,-1.931978959E-01,602.9753815499633,117.96493740713791,12,668,973,4.73
+6.069354023E+02,-2.029704114E-01,594.4763084318297,122.34582656685495,13,668,973,4.73
+5.994704864E+02,-2.117244848E-01,586.0842952819377,125.97643783075908,14,668,973,4.73
+5.920563731E+02,-2.194867639E-01,577.8525405473924,128.9076813508433,15,668,973,4.73
+5.847217116E+02,-2.263208107E-01,569.8104750767747,131.2078599368729,16,668,973,4.73
+5.775473355E+02,-2.322859506E-01,562.0359769823835,132.9529440088006,17,668,973,4.73
+5.705537931E+02,-2.374170395E-01,554.549023437604,134.19020614485,18,668,973,4.73
+5.637632277E+02,-2.417809971E-01,547.3650956699137,134.98306911975416,19,668,973,4.73
+5.571857001E+02,-2.454392024E-01,540.4872347464358,135.38631198196651,20,668,973,4.73
+5.508387611E+02,-2.484396745E-01,533.9265088845519,135.44675647846793,21,668,973,4.73
+5.447299699E+02,-2.508390936E-01,527.682365261751,135.2111737210314,22,668,973,4.73
+5.388688456E+02,-2.526876313E-01,521.7565224900841,134.72105996217127,23,668,973,4.73
+5.332368658E+02,-2.540584632E-01,516.1201570796485,134.0206644674102,24,668,973,4.73
+5.278294908E+02,-2.549561473E-01,510.76706279902305,133.12016720935304,25,668,973,4.73
+5.226696154E+02,-2.554807672E-01,505.7047593122214,132.0841522339152,26,668,973,4.73
+5.177557941E+02,-2.556044156E-01,500.9342489736385,130.90431822265603,27,668,973,4.73
+5.130536261E+02,-2.554136225E-01,496.40959109987426,129.62075882517505,28,668,973,4.73
+5.085460616E+02,-2.549657409E-01,492.10575239136006,128.2615500927865,29,668,973,4.73
+5.042786697E+02,-2.542032960E-01,488.0731469152069,126.81316956329339,30,668,973,4.73
+5.002252613E+02,-2.532712457E-01,484.26703491167126,125.34253444266814,31,668,973,4.73
+4.963477940E+02,-2.521011703E-01,480.65846130936944,123.8086272453412,32,668,973,4.73
+4.926344435E+02,-2.507661918E-01,477.2261083378319,122.2453943642974,33,668,973,4.73
+4.891080185E+02,-2.492709726E-01,473.9909263482998,120.66174000269093,34,668,973,4.73
+4.857528240E+02,-2.476295268E-01,470.935499223299,119.06116745302434,35,668,973,4.73
+4.825549483E+02,-2.458802638E-01,468.0413533139886,117.45880008252126,36,668,973,4.73
+4.795085776E+02,-2.440254550E-01,465.30229507473143,115.85443534954894,37,668,973,4.73
+4.766043079E+02,-2.420848893E-01,462.7066599506661,114.25503553951837,38,668,973,4.73
+4.738386219E+02,-2.400730056E-01,460.249223359743,112.66628599916042,39,668,973,4.73
+4.712050542E+02,-2.379969822E-01,457.92279614534993,111.08967492098105,40,668,973,4.73
+4.686957879E+02,-2.358787179E-01,455.71730278570874,109.53301573918473,41,668,973,4.73
